Index,File,Plane,Marker,Delta
1,1-1.asc,-5.7321,16.4758,22.2079
2,1-2.asc,-3.7088,10.1076,13.8164
3,1-3.asc,-3.2974,9.0929,12.3903
4,2-1.asc,-4.1634,11.8020,15.9654
5,2-2.asc,-4.9652,14.8275,19.7927
6,2-3.asc,-4.6016,13.5637,18.1653
7,3-1.asc,-5.3512,16.6323,21.9835
8,3-2.asc,-5.0661,16.2986,21.3647
9,3-3.asc,-5.2709,17.3720,22.6429
10,4-1.asc,-5.3604,16.6814,22.0418
11,4-2.asc,-5.7406,18.3648,24.1054
12,4-3.asc,-5.2289,16.1189,21.3477
13,5-1.asc,-5.9234,18.2184,24.1417
14,5-2.asc,-5.3025,16.3248,21.6273
15,5-3.asc,-5.5424,18.8252,24.3677
16,6-1.asc,-6.5131,21.2321,27.7452
17,6-2.asc,-5.6041,18.6703,24.2745
18,6-3.asc,-5.1920,16.8469,22.0389
19,7-2.asc,-5.2188,16.1812,21.4000
20,7-3.asc,-5.6340,18.7422,24.3763
21,8-1.asc,-6.2884,20.9865,27.2749
22,8-2.asc,-5.3665,17.0866,22.4532
23,8-3.asc,-6.3043,21.1268,27.4311
24,9-1.asc,-5.1767,16.0615,21.2383
25,9-2.asc,-5.2438,16.7771,22.0209
26,9-3.asc,-5.3668,17.6425,23.0093
27,10-1.asc,-5.5707,18.6159,24.1866
28,10-2.asc,-5.6091,18.1872,23.7963
29,10-2-1.asc,-4.7679,15.0442,19.8122
30,10-3.asc,-5.8445,18.7094,24.5539
31,10-3-1.asc,-5.4882,18.0193,23.5075
32,11-1.asc,-5.7339,18.5760,24.3100
33,11-2.asc,-5.7424,19.1912,24.9336
34,11-3.asc,-4.1578,12.7882,16.9459
35,12-1.asc,-5.7039,19.0487,24.7526
36,12-2.asc,-5.4144,18.0250,23.4394
37,12-3.asc,-4.9862,16.1632,21.1495
