Index,File,Delta_diff
1.0,1-1.asc,-2.7990999999999993
2.0,1-2.asc,5.262500000000001
3.0,1-3.asc,6.056699999999999
4.0,2-1.asc,4.490699999999999
5.0,2-2.asc,2.3027000000000015
6.0,2-3.asc,0.6090000000000018
7.0,3-1.asc,0.4156000000000013
8.0,3-2.asc,-1.056799999999999
9.0,3-3.asc,-0.7510000000000012
10.0,4-1.asc,1.3453000000000017
11.0,4-2.asc,1.8683000000000014
12.0,4-3.asc,0.3069999999999986
13.0,5-1.asc,-1.455400000000001
14.0,5-2.asc,2.5336
15.0,5-3.asc,2.7154000000000025
16.0,6-1.asc,-6.222999999999999
17.0,6-2.asc,0.6509999999999998
18.0,6-3.asc,2.3797999999999995
20.0,7-2.asc,3.0702
21.0,7-3.asc,-0.6330999999999989
22.0,8-1.asc,3.0457
23.0,8-2.asc,11.068500000000004
24.0,8-3.asc,1.8126999999999995
28.0,12-1.asc,4.0138
29.0,12-2.asc,-2.7987
30.0,12-3.asc,-0.3951999999999991
